s1,s2,t1,t2
2252,1344,46.72,52.57
2256,1349,46.73,52.40
2256,1342,46.70,52.38
2256,1344,46.71,52.46
2259,1346,46.78,52.48
2257,1340,46.74,52.46
2257,1350,46.65,52.34
2252,1337,46.77,52.27
2258,1347,46.83,52.26
2215,1349,46.79,52.29
2258,1345,46.70,52.23
2255,1341,46.66,52.12
2255,1343,46.68,52.16
2258,1334,46.65,52.15
2262,1346,46.71,52.10
2259,1344,46.73,52.09
2262,1353,46.69,51.99
2289,1353,46.71,51.89
2313,1357,46.72,51.84
2329,1350,46.74,51.75
2340,1371,46.65,51.76
2351,1359,46.62,51.77
2355,1361,46.69,51.69
2357,1367,46.60,51.65
2354,1359,46.67,51.62
2349,1369,46.64,51.69
2349,1365,46.56,51.70
2349,1371,46.53,51.67
2351,1378,46.40,51.74
2350,1394,46.43,51.75
2347,1410,46.46,51.76
2350,1424,46.49,51.62
2346,1413,46.51,51.64
2345,1415,46.54,51.66
2347,1435,46.56,51.73
2354,1442,46.48,51.79
2362,1447,46.61,51.80
2373,1440,46.63,51.71
2373,1433,46.60,51.78
2355,1413,46.62,51.84
2378,1406,46.59,51.84
2380,1387,46.56,51.95
2384,1379,46.53,51.95
2384,1385,46.60,51.91
2380,1391,46.57,51.91
2377,1407,46.44,51.82
2367,1420,46.42,51.88
2408,1443,46.45,51.73
2368,1425,46.48,51.75
2376,1378,46.50,51.76
2398,1306,46.48,51.87
2446,1246,46.45,52.03
2499,1195,46.33,52.03
2525,1162,46.32,51.97
2520,1158,46.25,51.93
2494,1179,46.19,52.03
2456,1199,46.18,51.98
2430,1192,46.22,52.03
2427,1208,46.26,52.03
2434,1216,46.30,52.03
2442,1217,46.28,52.12
2457,1198,46.17,52.12
2473,1179,46.16,52.01
2484,1163,46.10,52.06
2487,1133,46.15,52.11
2488,1120,46.04,52.20
2492,1124,45.99,52.29
2507,1125,45.99,52.48
2528,1130,45.94,52.65
2543,1108,45.89,52.57
2553,1090,45.95,52.54
2556,1064,45.90,52.47
2561,1030,45.85,52.59
2563,1005,45.96,52.56
2567,986,46.01,52.58
2608,994,45.96,52.61
2568,985,45.91,52.63
2567,987,45.87,52.64
2566,987,45.98,52.81
2565,981,46.03,52.82
2564,990,45.97,52.78
2564,981,45.98,52.69
2565,972,45.88,52.81
2550,963,45.88,52.97
2571,964,45.99,52.92
2572,957,45.99,52.92
2573,961,45.94,52.88
2572,977,45.94,52.83
2566,1014,45.95,52.84
2559,1028,45.95,52.90
2552,1056,45.95,52.90
2556,1075,45.95,52.71
2548,1099,45.91,52.72
2545,1120,45.96,52.79
2542,1114,45.91,52.75
2546,1090,45.92,52.66
2548,1070,46.02,52.68
2541,1051,45.97,52.59
2535,1059,46.02,52.66
2530,1072,46.02,52.78
2525,1086,45.92,52.69
2518,1099,45.82,52.81
2517,1113,45.83,53.02
2515,1123,45.94,52.87
2521,1136,45.84,52.82
2520,1122,45.85,52.83
2515,1135,45.81,52.74
2502,1148,45.87,52.55
2488,1163,45.93,52.58
2478,1174,45.88,52.35
2473,1175,45.83,52.38
2466,1174,45.79,52.36
2456,1189,45.70,52.39
2448,1199,45.72,52.42
2444,1208,45.73,52.65
2449,1213,45.75,52.62
2452,1203,45.81,52.64
2455,1195,45.87,52.66
2454,1189,45.82,52.62
2445,1183,45.83,52.59
2437,1212,45.89,52.61
2433,1220,45.95,52.43
2404,1226,45.95,52.31
2427,1235,46.00,52.24
2424,1227,45.95,52.28
2429,1226,45.95,52.27
2430,1219,45.96,52.40
2426,1212,45.91,52.38
2427,1205,45.91,52.42
2427,1218,45.87,52.54
2434,1226,45.87,52.52
2412,1252,45.83,52.59
2400,1265,45.99,52.66
2390,1293,46.04,52.58
2387,1300,45.99,52.65
2387,1309,45.99,52.67
2376,1313,45.94,52.63
2369,1340,45.94,52.60
2361,1365,45.89,52.57
2368,1385,45.90,52.69
2380,1405,45.96,52.66
2387,1415,45.91,52.58
2391,1435,45.91,52.60
2384,1453,45.97,52.47
2379,1471,46.02,52.44
2379,1466,46.07,52.42
2383,1432,46.06,52.45
2388,1410,46.11,52.43
2388,1390,46.11,52.36
2387,1377,46.10,52.54
2385,1378,46.19,52.56
2378,1386,46.29,52.43
2379,1382,46.37,52.56
2380,1384,46.25,52.53
2381,1384,46.24,52.41
2380,1392,46.23,52.34
2382,1391,46.22,52.27
2380,1394,46.26,52.26
2376,1407,46.19,52.29
2369,1414,46.18,52.13
2361,1450,46.22,52.12
2361,1472,46.31,52.17
2359,1478,46.25,52.11
2357,1481,46.28,52.15
2356,1458,46.32,52.15
2356,1439,46.30,52.14
2356,1414,46.34,52.08
2358,1408,46.32,52.08
2361,1426,46.31,52.12
2360,1440,46.34,52.22
2358,1446,46.32,52.06
2358,1435,46.26,51.95
2358,1458,46.24,51.86
2357,1472,46.23,51.91
2352,1485,46.27,51.92
2344,1487,46.36,51.87
2342,1493,46.39,51.78
2340,1502,46.42,51.79
2303,1500,46.50,51.65
2335,1499,46.52,51.67
2338,1499,46.55,51.68
2337,1488,46.52,51.75
2337,1496,46.49,51.66
2337,1511,46.42,51.68
